"Bayonet Anti-Fraud","Bayonet Anti-Fraud"
"Bayonet Anti-Fraud Blocklist/Whitelist","Bayonet Anti-Fraud Blocklist/Whitelist"
"Email added to blocklist","Email added to blocklist"
"An error ocurred while trying to add to the blocklist. Please try again","An error ocurred while trying to add to the blocklist. Please try again"
"Email removed from blocklist","Email removed from blocklist"
"An error ocurred while trying to remove from the blocklist. Please try again","An error ocurred while trying to remove from the blocklist. Please try again"
"Email added to whitelist","Email added to whitelist"
"An error ocurred while trying to add to the whitelist. Please try again","An error ocurred while trying to add to the whitelist. Please try again"
"Email removed from whitelist","Email removed from whitelist"
"An error ocurred while trying to remove from the whitelist. Please try again","An error ocurred while trying to remove from the whitelist. Please try again"
"The API key for that API mode has not been added yet. Please add your key and try again","The API key for that API mode has not been added yet. Please add your key and try again"
"Orders Processed by Bayonet Anti-Fraud","Orders Processed by Bayonet Anti-Fraud"
"Sandbox (test)","Sandbox (test)"
"Live (production)","Live (production)"
Added,Added
"Not added","Not added"
"Cannot set the API mode to live (production) with no live (production) API keys saved. Please save your live (production) API keys first","Cannot set the API mode to live (production) with no live (production) API keys saved. Please save your live (production) API keys first"
"This API version is invalid, please try again","This API version is invalid, please try again"
"Cannot enable the module with no pair of API keys saved. Please save your pair of API keys first","Cannot enable the module with no pair of API keys saved. Please save your pair of API keys first"
"Invalid value for the %1. Please check your key and try again","Invalid value for the %1. Please check your key and try again"
"%1: The key you entered has expired, please generate a new key from Bayonet's console","%1: The key you entered has expired, please generate a new key from Bayonet's console"
"%1: Source IP is not valid, please add your IP to the whitelist in Bayonet's console","%1: Source IP is not valid, please add your IP to the whitelist in Bayonet's console"
"%1: Store domain is not registered, please add your store domain to the whitelist in Bayonet's console","%1: Store domain is not registered, please add your store domain to the whitelist in Bayonet's console"
"An error ocurred while validating the %1. Please try again","An error ocurred while validating the %1. Please try again"
"Cannot save an empty live (production) API key when the live (production) mode is enabled","Cannot save an empty live (production) API key when the live (production) mode is enabled"
"Bayonet Sandbox (test) Key","Bayonet Sandbox (test) Key"
"Device Fingerprint Sandbox (test) Key","Device Fingerprint (test) Key"
"Bayonet Live (production) Key","Bayonet Live (production) Key"
"Device Fingerprint Live (production) Key","Device Fingerprint Live (production) Key"
"There was an error processing your order. Please try again later","There was an error processing your order. Please try again later"
"Remove from Blocklist","Remove from Blocklist"
"Add to Blocklist","Add to Blocklist"
"Remove from Whitelist","Remove from Whitelist"
"Add to Whitelist","Add to Whitelist"
"Email address %1","Email address %1"
"Are you sure you want to %1 the email %2?","Are you sure you want to %1 the email %2?"
"View","View"
"Information for Bayonet Anti-Fraud","Information for Bayonet Anti-Fraud"
